Shipment Date,Matching Fields,Consignee,Consignee_Clean,Consignee Full Address,Consignee_Address,Consignee Email 1,Consignee Phone 1,Consignee Website 1,Consignee Profile,Consignee Trade Roles,Shipper,Shipper_Clean,Shipper Full Address,Shipper_Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,Shipper Trade Roles,Notify Party,Notify_Party,HS Code,Goods Shipped,Volume (TEU),Gross Weight (kg)
2021-07-31,HS Code (4-digit),Klabin Sa,Klabin Sa,"Av. Cristóvão Colombo, Piracicaba - SP, Brazil","Av. Cristóvão Colombo, Piracicaba - SP, Brazil",,,,https://panjiva.com/Klabin-SA/41673482,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,KLABIN SA,KLABIN SA,47071000,3 X 40 CONTAINERS CONTAINING 90 BALES OF WASTE PAPER DOUBLE SORTED OCC,6,74844
2021-07-31,HS Code (4-digit),Klabin Sa,Klabin Sa,"Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil","Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil",,,,https://panjiva.com/Klabin-SA/108471773,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,KLABIN SA,KLABIN SA,47071000,10 X 40 CONTAINERS CONTAINING 307 BALES OF WASTE PAPER DOUBLE SORTED OCC,20,247781.01
2021-07-31,HS Code (4-digit),Fernandez Sa Industria De Papel,Fernandez Sa Industria De Papel,"Av. Pref. Raul de Oliveira Fagundes, 6 - Centro, Amparo - SP, 13900-560, Brazil","Av. Pref. Raul de Oliveira Fagundes, 6 - Centro, Amparo - SP, 13900-560, Brazil",,,,https://panjiva.com/Fernandez-SA-Industria-De-Papel/106983290,Manufacturer,Ekman,Ekman,United States,United States,,,,https://panjiva.com/Ekman/108474207,,FERNANDEZ SA INDUSTRIA DE PAPEL,FERNANDEZ SA INDUSTRIA DE PAPEL,47071000,4 X 40 CONTAINERS CONTAINING 160 BALES OF WASTE PAPER DE PAPEL ONDULADO I,8,99791
2021-07-28,HS Code (4-digit),Pbl Assessoria De Comercio Exterior Ltda,Pbl Assessoria De Comercio Exterior Ltda,"R. Fiação da Saúde, 64 - 303 - Vila da Saúde, São Paulo - SP, 04144-020, Brazil","R. Fiação da Saúde, 64 - 303 - Vila da Saúde, São Paulo - SP, 04144-020, Brazil",,,,https://panjiva.com/Pbl-Assessoria-De-Comercio-Exterior-Ltda/98285125,,Kce Logistics Inc.,Kce Logistics Inc.,United States,United States,,,,https://panjiva.com/Kce-Logistics-Inc/87849587,Logistics,PBL ASSESSORIA DE COMERCIO EXTERIOR LTDA,PBL ASSESSORIA DE COMERCIO EXTERIOR LTDA,47070000,3 X 40 CONTAINERS CONTAINING 108 BALES OF CORRUGATED CARTON,6,66096
2021-07-28,HS Code (4-digit),Klabin Sa,Klabin Sa,"Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil","Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil",,,,https://panjiva.com/Klabin-SA/108471773,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,KLABIN SA,KLABIN SA,47071000,10 X 40 CONTAINERS CONTAINING 400 BALES OF WASTE PAPER DOUBLE SORTED OCC,20,203307.01
2021-07-28,HS Code (4-digit),Klabin Sa,Klabin Sa,"Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil","Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil",,,,https://panjiva.com/Klabin-SA/108471773,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,KLABIN SA,KLABIN SA,47071000,3 X 40 CONTAINERS CONTAINING 102 BALES OF WASTE PAPER DOUBLE SORTED OCC,6,74662
2021-07-28,HS Code (4-digit),Smurfit Kappa Do Brasil Industria De Embalagens Sa,Smurfit Kappa Do Brasil Industria De Embalagens Sa,"BR-050, Uberaba - MG, Brazil","BR-050, Uberaba - MG, Brazil",,,,https://panjiva.com/Smurfit-Kappa-Do-Brasil-Industria-De-Embalagens-SA/98285566,Manufacturer,Gp Harmon Recycling Llc,Gp Harmon Recycling Llc,"2 Jericho Plaza, Jericho, NY 11753, USA","2 Jericho Plaza, Jericho, NY 11753, USA",sara.levi@gapac.com,+1 516 997 3400,,https://panjiva.com/Gp-Harmon-Recycling-Llc/4020527,Wholesale,SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS SA,SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS SA,47071000,1 X 40 CONTAINERS CONTAINING 24 BALES OF OLD CORRUGATED - OCC,2,23333
2021-07-28,HS Code (4-digit),Smurfit Kappa Do Brasil Industria De Embalagens Sa,Smurfit Kappa Do Brasil Industria De Embalagens Sa,"BR-050, Uberaba - MG, Brazil","BR-050, Uberaba - MG, Brazil",,,,https://panjiva.com/Smurfit-Kappa-Do-Brasil-Industria-De-Embalagens-SA/98285566,Manufacturer,Gp Harmon Recycling Llc,Gp Harmon Recycling Llc,"2 Jericho Plaza, Jericho, NY 11753, USA","2 Jericho Plaza, Jericho, NY 11753, USA",sara.levi@gapac.com,+1 516 997 3400,,https://panjiva.com/Gp-Harmon-Recycling-Llc/4020527,Wholesale,SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS SA,SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS SA,47071000,1 X 40 CONTAINERS CONTAINING 24 BALES OF OLD CORRUGATED - OCC,2,23206
2021-07-28,HS Code (4-digit),Klabin Sa,Klabin Sa,"Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil","Rua Henedina de Oliveira Bresler, 150 - Sol Nascente, Paulínia - SP, 13145-002, Brazil",,,,https://panjiva.com/Klabin-SA/108471773,,Cellmark Inc.,Cellmark Inc.,"4294 Swinnea Rd, Memphis, TN 38118, USA","4294 Swinnea Rd, Memphis, TN 38118, USA",anamaria.candanoza@cellmark.com,+1 415 945 2400,,https://panjiva.com/Cellmark-Inc/34600185,Logistics,KLABIN SA,KLABIN SA,47071000,8 X 40 CONTAINERS CONTAINING 252 BALES OF WASTE PAPER DOUBLE SORTED OCC,16,180232
2021-07-27,HS Code (4-digit),Smurfit Kappa Do Brasil Industria De Embalagens Sa,Smurfit Kappa Do Brasil Industria De Embalagens Sa,"BR-050, Uberaba - MG, Brazil","BR-050, Uberaba - MG, Brazil",,,,https://panjiva.com/Smurfit-Kappa-Do-Brasil-Industria-De-Embalagens-SA/98285566,Manufacturer,Astro Carton Honduras S.A.,Astro Carton Honduras S.A.,"San Pedro Sula 21101, Honduras","San Pedro Sula 21101, Honduras",,+15045593060,astrocarton.com,https://panjiva.com/Astro-Carton-Honduras-S-A/1368039,,SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS SA,SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS SA,47070000,5 X 40 CONTAINERS CONTAINING 215 BALES OF WASTE PAPER - APARAS DKL REFILE PRE CONSUMO,10,110257
