Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201802,February 2018,4,0,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,672000,,118324,,,0
HS,2018,201802,February 2018,4,0,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,162000,,29730,,,0
HS,2018,201802,February 2018,4,0,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,367368,,86255,,,0
HS,2018,201802,February 2018,4,0,1,Imports,76,Brazil,,0,World,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1201368,,234309,,,0
HS,2018,201804,April 2018,4,0,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,297138,,77239,,,0
HS,2018,201804,April 2018,4,0,1,Imports,76,Brazil,,0,World,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1694237,,353463,,,0
HS,2018,201804,April 2018,4,0,1,Imports,76,Brazil,,246,Finland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,51600,,39891,,,0
HS,2018,201804,April 2018,4,0,1,Imports,76,Brazil,,591,Panama,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,47499,,10802,,,0
HS,2018,201804,April 2018,4,0,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,230000,,31700,,,0
HS,2018,201804,April 2018,4,0,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1068000,,193831,,,0
HS,2018,201807,July 2018,4,0,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2602233,,529241,,,0
HS,2018,201807,July 2018,4,0,1,Imports,76,Brazil,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,10300,,2193,,,0
HS,2018,201807,July 2018,4,0,1,Imports,76,Brazil,,0,World,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,4213293,,852551,,,0
HS,2018,201808,August 2018,4,0,1,Imports,76,Brazil,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,9833,,11134,,,0
HS,2018,201808,August 2018,4,0,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,226360,,42689,,,0
