Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202009,September 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,197179,,38279,,,0
HS,2020,202005,May 2020,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,50330,,6033,,,0
HS,2020,202005,May 2020,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,99110,,21052,,,0
HS,2020,202005,May 2020,6,1,1,Imports,76,Brazil,,558,Nicaragua,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,141510,,25467,,,0
HS,2020,202003,March 2020,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,26000,,3100,,,0
HS,2020,202003,March 2020,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,959780,,150901,,,0
HS,2020,202010,October 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,97350,,24028,,,0
HS,2020,202009,September 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,248159,,44177,,,0
HS,2020,202009,September 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,95420,,19507,,,0
HS,2020,202010,October 2020,6,1,1,Imports,76,Brazil,,724,Spain,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,97350,,24028,,,0
HS,2020,202011,November 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,3955356,,825657,,,0
HS,2020,202011,November 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,95710,,24139,,,0
HS,2020,202012,December 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,6934474,,1457343,,,0
HS,2020,202006,June 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,462441,,98290,,,0
HS,2020,202006,June 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,440896,,84724,,,0
HS,2020,202005,May 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,444696,,82262,,,0
HS,2020,202005,May 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,150440,,28759,,,0
HS,2020,202005,May 2020,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,200000,,17800,,,0
HS,2020,202010,October 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,255000,,47075,,,0
HS,2020,202009,September 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,177200,,13113,,,0
HS,2020,202002,February 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,,,2633,,,0
HS,2020,202002,February 2020,6,1,1,Imports,76,Brazil,,276,Germany,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,,,2633,,,0
HS,2020,202011,November 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,104000,,19240,,,0
HS,2020,202012,December 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,698319,,138183,,,0
HS,2020,202011,November 2020,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,104000,,19240,,,0
HS,2020,202012,December 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,1165519,,225692,,,0
HS,2020,202003,March 2020,6,1,1,Imports,76,Brazil,,251,France,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,5,,391,,,0
HS,2020,202012,December 2020,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,467200,,87509,,,0
HS,2020,202005,May 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,200000,,17800,,,0
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,150000,,18000,,,0
HS,2020,202003,March 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,5,,391,,,0
HS,2020,202009,September 2020,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,177200,,13113,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,27740,,1534,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,528,Netherlands,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,10,,125,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,27730,,1409,,,0
HS,2020,202010,October 2020,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,255000,,47075,,,0
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470790,"Paper or paperboard; waste and scrap, of paper or paperboard n.e.s. in heading no. 4707 and of unsorted waste and scrap",,,,,,,150000,,18000,,,0
HS,2020,202002,February 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,342156,,50691,,,0
HS,2020,202006,June 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,855261,,181944,,,0
HS,2020,202006,June 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,440896,,84724,,,0
HS,2020,202003,March 2020,6,1,1,Imports,76,Brazil,,757,Switzerland,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,22136,,8787,,,0
HS,2020,202011,November 2020,6,1,1,Imports,76,Brazil,,558,Nicaragua,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,315561,,67637,,,0
HS,2020,202012,December 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,7928374,,1649288,,,0
HS,2020,202012,December 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,93360,,19124,,,0
HS,2020,202004,April 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,563647,,97918,,,0
HS,2020,202004,April 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,765967,,129324,,,0
HS,2020,202012,December 2020,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,570370,,106258,,,0
HS,2020,202012,December 2020,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,423530,,85687,,,0
HS,2020,202012,December 2020,6,1,1,Imports,76,Brazil,,620,Portugal,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,93360,,19124,,,0
HS,2020,202005,May 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,735646,,134814,,,0
HS,2020,202005,May 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,150440,,28759,,,0
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,26000,,3100,,,0
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,600,Paraguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,16570,,2542,,,0
HS,2020,202001,January 2020,6,1,1,Imports,76,Brazil,,214,Dominican Rep.,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,181730,,35218,,,0
HS,2020,202008,August 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,2124827,,405568,,,0
HS,2020,202008,August 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,103640,,22216,,,0
HS,2020,202003,March 2020,6,1,1,Imports,76,Brazil,,0,World,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,1007916,,162788,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,1440407,,289634,,,0
HS,2020,202007,July 2020,6,1,1,Imports,76,Brazil,,842,United States of America,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,247146,,52366,,,0
HS,2020,202011,November 2020,6,1,1,Imports,76,Brazil,,724,Spain,,,,,,,,,470730,"Paper or paperboard; waste and scrap, of paper or paperboard made mainly of mechanical pulp (eg newspapers, journals and similar printed matter)",,,,,,,95710,,24139,,,0
HS,2020,202009,September 2020,6,1,1,Imports,76,Brazil,,858,Uruguay,,,,,,,,,470710,"Paper or paperboard; waste and scrap, of unbleached kraft paper or paperboard or of corrugated paper or paperboard",,,,,,,50980,,5898,,,0
