Partner,2016,2017,2018,2019,2020,2021
Afghanistan,,,20000.0,,,
Albania,,,177000.0,43750.0,20000.0,
Algeria,,,,,,19000.0
Angola,,1472000.0,,,,
Anguilla,,,,243333.33333333334,,
Argentina,1361750.0,334875.0,1283000.0,4826500.0,4949333.333333333,2897500.0
Australia,137833.33333333334,141666.66666666666,350900.0,345727.2727272727,89000.0,76800.0
Austria,60333.333333333336,,,119333.33333333333,247000.0,133000.0
Bahamas,,,80000.0,,3000.0,36000.0
Bahrain,,136000.0,,,125000.0,53000.0
Bangladesh,188000.0,355200.0,1005666.6666666666,751083.3333333334,545300.0,825714.2857142857
Barbados,,,,,,46000.0
Belarus,,,,,75000.0,
Belgium,815500.0,993416.6666666666,1705333.3333333333,2661583.3333333335,876166.6666666666,1766625.0
Belize,53000.0,74000.0,389333.3333333333,166000.0,125000.0,
Bolivia,609416.6666666666,568166.6666666666,368250.0,876000.0,113000.0,1154000.0
Botswana,130000.0,,,,,
Br. Indian Ocean Terr.,96000.0,163666.66666666666,190000.0,44000.0,,120000.0
Br. Virgin Isds,121000.0,,,,,
Brazil,269818.1818181818,789000.0,934083.3333333334,1311583.3333333333,2375500.0,21308875.0
Bulgaria,,17000.0,,38000.0,,
Canada,54885916.666666664,60316166.666666664,71482750.0,72158750.0,69544833.33333333,73896250.0
Cayman Isds,,,,,,78000.0
Central African Rep.,,,,973000.0,,
Chad,,,,,,17000.0
Chile,3512166.6666666665,3197000.0,2548166.6666666665,3345833.3333333335,4320416.666666667,3865750.0
China,1099146000.0,906043333.3333334,630096750.0,439466333.3333333,365388666.6666667,45300125.0
"China, Hong Kong SAR",697416.6666666666,637000.0,896500.0,241583.33333333334,770000.0,132125.0
"China, Macao SAR",,,,,,22000.0
Christmas Isds,105666.66666666667,67000.0,,,67000.0,164000.0
Colombia,6704833.333333333,5181750.0,6659083.333333333,10953416.666666666,7549750.0,10428375.0
Congo,17000.0,,11000.0,,,
Costa Rica,377200.0,389600.0,263200.0,359750.0,183000.0,443000.0
Czech Rep.,22000.0,75000.0,77000.0,45500.0,49250.0,70000.0
Denmark,,,137000.0,114000.0,104750.0,291500.0
Djibouti,,,,402000.0,224000.0,
Dominican Rep.,689583.3333333334,795333.3333333334,633250.0,579250.0,317272.7272727273,499000.0
Ecuador,2452416.6666666665,3654666.6666666665,6029416.666666667,6189500.0,5286250.0,9368000.0
Egypt,172818.18181818182,479636.36363636365,472666.6666666667,1696083.3333333333,297200.0,417500.0
El Salvador,3355833.3333333335,3587750.0,3717333.3333333335,3254250.0,3520583.3333333335,4080000.0
Equatorial Guinea,,,,,,29000.0
Estonia,,,25000.0,,,
FS Micronesia,,62000.0,,,,
Finland,,,45000.0,123500.0,167000.0,729500.0
France,158250.0,108166.66666666667,300333.3333333333,59000.0,245200.0,54333.333333333336
Gabon,,18000.0,,,,
Gambia,,,57000.0,,,
Georgia,,,,,,63000.0
Germany,4014166.6666666665,4957916.666666667,5934750.0,6593000.0,5494333.333333333,8462750.0
Ghana,144000.0,67000.0,514000.0,42500.0,434500.0,397375.0
Greece,83000.0,174000.0,144833.33333333334,51666.666666666664,,178000.0
Guatemala,1866416.6666666667,2033833.3333333333,3171416.6666666665,4115916.6666666665,3352416.6666666665,3451125.0
Haiti,,223000.0,,,,
Honduras,468000.0,407000.0,149125.0,99400.0,75000.0,72000.0
Hungary,21000.0,,,,,
Iceland,103000.0,220000.0,155000.0,170000.0,,
India,130160333.33333333,160406000.0,278167916.6666667,247764750.0,179951166.66666666,342055875.0
Indonesia,31632833.333333332,36576416.666666664,97223000.0,75010583.33333333,39484333.333333336,46667000.0
Iraq,124000.0,59000.0,,,,
Ireland,125250.0,63000.0,30000.0,198666.66666666666,161250.0,700000.0
Israel,587250.0,434750.0,559583.3333333334,410750.0,305750.0,336000.0
Italy,7853333.333333333,8003416.666666667,21727416.666666668,11749166.666666666,6609666.666666667,15570125.0
Jamaica,,175666.66666666666,161000.0,,20000.0,
Japan,7585916.666666667,7749000.0,8100916.666666667,6926750.0,4285000.0,2645375.0
Jordan,26000.0,14000.0,11000.0,,,
Kenya,59500.0,,53000.0,109200.0,37000.0,86000.0
Kiribati,,,138000.0,,,
Kuwait,,,576000.0,,,46000.0
Lao People's Dem. Rep.,,,,1515500.0,2610500.0,3079250.0
Latvia,,,25000.0,216000.0,91000.0,
Lebanon,489666.6666666667,207000.0,142857.14285714287,221000.0,98250.0,100500.0
Lithuania,,,,39750.0,,
Malaysia,838500.0,1964083.3333333333,9313916.666666666,15151916.666666666,29053666.666666668,59211375.0
Maldives,,304000.0,,,,
Mali,,,66000.0,,,
Marshall Isds,,300000.0,,,,
Mauritius,24500.0,,,,,
Mexico,124705833.33333333,131065416.66666667,139348000.0,110878333.33333333,113918166.66666667,174856250.0
Montenegro,21000.0,,,,,
Morocco,134000.0,220500.0,,45000.0,,24750.0
Myanmar,,,191500.0,10095250.0,8686000.0,200000.0
Nepal,,49000.0,,,,
Netherlands,6734500.0,9430500.0,11036000.0,11794000.0,11099083.333333334,11916125.0
New Zealand,,,61000.0,,53200.0,12000.0
Nicaragua,156000.0,27500.0,126000.0,21000.0,,32250.0
Nigeria,,262500.0,252000.0,801000.0,265000.0,
Norway,187000.0,113750.0,124500.0,,185000.0,
Oman,,,607000.0,133000.0,67000.0,369000.0
"Other Asia, nes",21299166.666666668,23382916.666666668,57696583.333333336,75466333.33333333,72437083.33333333,88301750.0
Pakistan,2263333.3333333335,1604083.3333333333,1866500.0,3730916.6666666665,6145083.333333333,6536500.0
Panama,391333.3333333333,204833.33333333334,42000.0,82400.0,113666.66666666667,72000.0
Paraguay,133000.0,135750.0,285250.0,102000.0,2050000.0,3355571.4285714286
Peru,1632181.8181818181,5853000.0,2050583.3333333333,2350166.6666666665,2193000.0,3908000.0
Philippines,2104750.0,2247000.0,3795333.3333333335,2164333.3333333335,1111500.0,1429400.0
Poland,49000.0,38000.0,520000.0,,,
Portugal,,504750.0,152000.0,98333.33333333333,90333.33333333333,
Qatar,304500.0,350000.0,,79000.0,,132666.66666666666
Rep. of Korea,86052250.0,73649250.0,93238833.33333333,82627500.0,70835166.66666667,62978250.0
