Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2021,202101,Jan-21,4,0,1,Imports,124,Canada,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,1041,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,124,Canada,,392,Japan,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,44,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,124,Canada,,410,Rep. of Korea,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,7000,,8822,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,124,Canada,,484,Mexico,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,35,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,124,Canada,,666,Saint Pierre and Miquelon,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,32000,,2342,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,124,Canada,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,0,,10371845,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,124,Canada,,899,"Areas, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,60000,,21237,,,0
HS,2021,202102,Feb-21,4,0,1,Imports,124,Canada,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,9712,,,0
HS,2021,202102,Feb-21,4,0,1,Imports,124,Canada,,484,Mexico,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,168,,,0
HS,2021,202102,Feb-21,4,0,1,Imports,124,Canada,,666,Saint Pierre and Miquelon,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,15000,,1111,,,0
HS,2021,202102,Feb-21,4,0,1,Imports,124,Canada,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,10008046,,,0
HS,2021,202102,Feb-21,4,0,1,Imports,124,Canada,,899,"Areas, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,20000,,6735,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,116,Cambodia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,5,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,26658,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,251,France,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,127,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,392,Japan,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,17,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,484,Mexico,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,45,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,504,Morocco,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,20000,,2134,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,528,Netherlands,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,208,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,666,Saint Pierre and Miquelon,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,12000,,890,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,752,Sweden,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,58,,,0
HS,2021,202103,Mar-21,4,0,1,Imports,124,Canada,,826,United Kingdom,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,22,,,0
