Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,594864990,,,,594864990,,154275404,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,40,Austria,AUT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,4371080,,,,4371080,,1368338,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,48,Bahrain,BHR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,11922910,,,,11922910,,3324273,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,56,Belgium,BEL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,211409170,,,,211409170,,55429198,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,76,Brazil,BRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,19516960,,,,19516960,,4885050,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,96,Brunei Darussalam,BRN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,11587811,,,,11587811,,2648230,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,100,Bulgaria,BGR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,374260,,,,374260,,84563,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,482374610,,,,482374610,,119611714,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,144,Sri Lanka,LKA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1186300,,,,1186300,,328025,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,152,Chile,CHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2682200,,,,2682200,,783957,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,188,Costa Rica,CRI,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,16757965,,,,16757965,,4394826,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,191,Croatia,HRV,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,13729170,,,,13729170,,3057162,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,196,Cyprus,CYP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2223385,,,,2223385,,525237,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,214,Dominican Rep.,DOM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,42570464,,,,42570464,,11026667,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,222,El Salvador,SLV,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,8033628,,,,8033628,,1999143,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,233,Estonia,EST,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,6853350,,,,6853350,,1534711,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,159674286,,,,159674286,,38588409,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,276,Germany,DEU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,95751230,,,,95751230,,25009847,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,300,Greece,GRC,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,57300715,,,,57300715,,14351159,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,320,Guatemala,GTM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,20522509,,,,20522509,,4984293,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,332,Haiti,HTI,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,321728,,,,321728,,87027,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,340,Honduras,HND,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3202877,,,,3202877,,759209,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,731486670,,,,731486670,,198210645,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,360,Indonesia,IDN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,12553780,,,,12553780,,3613365,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,372,Ireland,IRL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,32562670,,,,32562670,,8352175,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,376,Israel,ISR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,922180,,,,922180,,303737,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,381,Italy,ITA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,696365960,,,,696365960,,174649196,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,388,Jamaica,JAM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,650979,,,,650979,,177094,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,392,Japan,JPN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2752775220,,,,2752775220,,708706955,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,400,Jordan,JOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,758560,,,,758560,,188904,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,403887470,,,,403887470,,99383406,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,414,Kuwait,KWT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1561570,,,,1561570,,356447,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,428,Latvia,LVA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3696555,,,,3696555,,831106,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,458,Malaysia,MYS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,73180,,,,73180,,22466,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,470,Malta,MLT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1437785,,,,1437785,,328546,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,484,Mexico,MEX,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,75712520,,,,75712520,,18376412,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,490,"Other Asia, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,116626970,,,,116626970,,31118198,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,504,Morocco,MAR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1357380,,,,1357380,,341644,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,528,Netherlands,NLD,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,744875770,,,,744875770,,185118012,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,540,New Caledonia,NCL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1161230,,,,1161230,,357966,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,554,New Zealand,NZL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,25197785,,,,25197785,,7006631,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,558,Nicaragua,NIC,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,505637,,,,505637,,114090,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,579,Norway,NOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,511800,,,,511800,,112596,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,591,Panama,PAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,422757,,,,422757,,113825,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,608,Philippines,PHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,18895230,,,,18895230,,4529282,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,616,Poland,POL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,31964690,,,,31964690,,7673068,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,620,Portugal,PRT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,35288870,,,,35288870,,9349422,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,642,Romania,ROU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,778980,,,,778980,,243328,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,643,Russian Federation,RUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,21997717,,,,21997717,,4931663,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,682,Saudi Arabia,SAU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2234787,,,,2234787,,566460,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,699,India,IND,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,263640,,,,263640,,87001,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,702,Singapore,SGP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,275383620,,,,275383620,,75303128,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,705,Slovenia,SVN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,7988770,,,,7988770,,2173398,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,710,South Africa,ZAF,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,74930960,,,,74930960,,17120851,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,724,Spain,ESP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,450360800,,,,450360800,,112161987,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,752,Sweden,SWE,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1013760,,,,1013760,,262110,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,764,Thailand,THA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,129114720,,,,129114720,,38177676,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,784,United Arab Emirates,ARE,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,109606940,,,,109606940,,30352818,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,792,Turkey,TUR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,556980,,,,556980,,150835,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,804,Ukraine,UKR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,151719,,,,151719,,34137,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,826,United Kingdom,GBR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2095011310,,,,2095011310,,489673902,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,6403319366,,,,6403319366,,1608784944,,,0
H5,2018,2018,2018,4,0,1,Import,156,China,CHN,887,Yemen,YEM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2236667,,,,2236667,,436910,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,36,Australia,AUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,488936906,,,,488936906,,94567456,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,40,Austria,AUT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1878730,,,,1878730,,586728,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,48,Bahrain,BHR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1408180,,,,1408180,,442585,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,56,Belgium,BEL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,82990870,,,,82990870,,20464176,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,76,Brazil,BRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,507670,,,,507670,,140028,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,96,Brunei Darussalam,BRN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,7754100,,,,7754100,,1624552,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,332191070,,,,332191070,,71346599,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,152,Chile,CHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,205040,,,,205040,,57583,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,188,Costa Rica,CRI,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,10045377,,,,10045377,,2216215,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,214,Dominican Rep.,DOM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,26152095,,,,26152095,,5382525,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,222,El Salvador,SLV,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,255467,,,,255467,,63838,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,233,Estonia,EST,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1082160,,,,1082160,,279230,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,251,France,FRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,46423870,,,,46423870,,9089074,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,276,Germany,DEU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,55394190,,,,55394190,,12924620,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,300,Greece,GRC,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3745550,,,,3745550,,1185650,,,0
H5,2019,2019,2019,4,0,1,Import,156,China,CHN,320,Guatemala,GTM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1478137,,,,1478137,,371400,,,0
