Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,7,,23,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,203,Czech Rep.,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2,,17,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,233,Estonia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2333628,,356277,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,66658,,20548,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,440,Lithuania,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,13208,,1714,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,528,Netherlands,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,420,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,579,Norway,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,10657,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,616,Poland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1429039,,169152,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,620,Portugal,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,35092,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,643,Russian Federation,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,6143,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,752,Sweden,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,645970,,79255,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,826,United Kingdom,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1,,47,,,0
HS,2021,202101,Jan-21,4,0,1,Imports,246,Finland,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,5,,196,,,0
HS,2021,202102,Feb-21,4,0,1,Imports,246,Finland,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,14,,79,,,0
HS,2021,202102,Feb-21,4,0,1,Imports,246,Finland,,233,Estonia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1893031,,247995,,,0
HS,2021,202102,Feb-21,4,0,1,Imports,246,Finland,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,7599,,,0
HS,2021,202102,Feb-21,4,0,1,Imports,246,Finland,,381,Italy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,,,581,,,0
