Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,40,Austria,AUT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,228505261,,,,228505261,,37742155,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,56,Belgium,BEL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,242837946,,,,242837946,,42970485,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,100,Bulgaria,BGR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,21980,,,,21980,,1308,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,479120,,,,479120,,144498,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,156,China,CHN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,629849,,,,629849,,183490,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,191,Croatia,HRV,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,5065567,,,,5065567,,951742,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,196,Cyprus,CYP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,96070,,,,96070,,22266,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,203,Czechia,CZE,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,324822550,,,,324822550,,43133186,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,208,Denmark,DNK,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,349056479,,,,349056479,,50201145,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,214,Dominican Rep.,DOM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,21139,,,,21139,,6597,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,233,Estonia,EST,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,75330,,,,75330,,29549,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,246,Finland,FIN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,41113098,,,,41113098,,11106302,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,251,France,FRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,473116863,,,,473116863,,82460474,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,300,Greece,GRC,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,37357,,,,37357,,4768,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,348,Hungary,HUN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,4787378,,,,4787378,,1377118,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,372,Ireland,IRL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,4661566,,,,4661566,,502953,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,381,Italy,ITA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,224577540,,,,224577540,,37139210,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,392,Japan,JPN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,69565,,,,69565,,13868,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,410,Rep. of Korea,KOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,334795,,,,334795,,175560,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,428,Latvia,LVA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,90946,,,,90946,,32190,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,440,Lithuania,LTU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,23259700,,,,23259700,,4879122,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,442,Luxembourg,LUX,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,17159248,,,,17159248,,1797134,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,490,"Other Asia, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,74480,,,,74480,,40096,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,528,Netherlands,NLD,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1258458476,,,,1258458476,,266501662,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,579,Norway,NOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,13872909,,,,13872909,,1620300,,,0
H5,2018,2018,2018,4,0,1,Import,276,Germany,DEU,616,Poland,POL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,689157586,,,,689157586,,106530018,,,0
