Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2021,202104,Apr-21,4,0,1,Imports,276,Germany,,757,Switzerland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,26345900,,5668768,,,0
HS,2021,202104,Apr-21,4,0,1,Imports,276,Germany,,251,France,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,42893380,,9793486,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,191,Croatia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1927636,,411962,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,643,Russian Federation,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,498701,,151636,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,348,Hungary,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,858150,,212059,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,703,Slovakia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,165940,,34221,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,440,Lithuania,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2013539,,533693,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,56,Belgium,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,27664883,,6619904,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,528,Netherlands,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,94663950,,26521772,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,203,Czech Rep.,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,37831530,,8356454,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,376,Israel,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,483470,,128372,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,724,Spain,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1699540,,534944,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,826,United Kingdom,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,19226474,,4645436,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,233,Estonia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,471460,,128185,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,616,Poland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,51100870,,12134100,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,705,Slovenia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1938130,,465213,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,642,Romania,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,560218,,180948,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,372,Ireland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,19843,,6564,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,442,Luxembourg,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1676531,,330815,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,40,Austria,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,13335450,,3215002,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,752,Sweden,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,10499000,,2002463,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,620,Portugal,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,35060,,8803,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,428,Latvia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,638502,,210530,,,0
HS,2021,202108,Aug-21,4,0,1,Imports,276,Germany,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,56240,,12544,,,0
