Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,699,India,IND,12,Algeria,DZA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,29536620,,,,29536620,,6030332,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,24,Angola,AGO,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1883590,,,,1883590,,388943,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,32,Argentina,ARG,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,235000,,,,235000,,45863,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,36,Australia,AUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,125986370,,,,125986370,,29390157,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,40,Austria,AUT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,112680,,,,112680,,13102,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,44,Bahamas,BHS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,202334,,,,202334,,53559,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,48,Bahrain,BHR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,46775610,,,,46775610,,9826121,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,52,Barbados,BRB,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,63000,,,,63000,,10134,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,56,Belgium,BEL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,179193620,,,,179193620,,37058861,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,68,Bolivia (Plurinational State of),BOL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,125000,,,,125000,,24827,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,76,Brazil,BRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,525000,,,,525000,,153751,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,96,Brunei Darussalam,BRN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,193000,,,,193000,,34782,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,100,Bulgaria,BGR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,503000,,,,503000,,219009,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,104,Myanmar,MMR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,644409,,,,644409,,152885,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,120,Cameroon,CMR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,68000,,,,68000,,21981,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,374262972,,,,374262972,,67288848,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,144,Sri Lanka,LKA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,128445690,,,,128445690,,30000419,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,152,Chile,CHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,20000,,,,20000,,11577,,,0
H5,2018,2018,2018,4,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,9139065,,,,9139065,,1684441,,,0
