Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201912,Dec-19,4,0,1,Imports,699,India,,251,France,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,6833600,,1237173,,,0
HS,2019,201912,Dec-19,4,0,1,Imports,699,India,,757,Switzerland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,9585000,,1507248,,,0
HS,2019,201912,Dec-19,4,0,1,Imports,699,India,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,9480750,,1522490,,,0
HS,2019,201911,Nov-19,4,0,1,Imports,699,India,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,213428976,,37222919,,,0
HS,2019,201911,Nov-19,4,0,1,Imports,699,India,,251,France,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,4266110,,723262,,,0
HS,2019,201911,Nov-19,4,0,1,Imports,699,India,,490,"Other Asia, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,253470,,76602,,,0
HS,2019,201911,Nov-19,4,0,1,Imports,699,India,,757,Switzerland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,13772200,,2440636,,,0
HS,2019,201911,Nov-19,4,0,1,Imports,699,India,,579,Norway,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1417000,,290334,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,699,India,,757,Switzerland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,9740770,,1863137,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,699,India,,490,"Other Asia, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1166040,,417022,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,699,India,,251,France,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,5359330,,1274608,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,699,India,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,194287020,,41326023,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,8280370,,1636603,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,462000,,40195,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,188,Costa Rica,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,518560,,102978,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,196,Cyprus,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,564150,,103193,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,214,Dominican Rep.,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1716240,,358317,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,222,El Salvador,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,334306,,59486,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,246,Finland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,81280,,23894,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,764,Thailand,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,147000,,48477,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,780,Trinidad and Tobago,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,221930,,53427,,,0
HS,2019,201907,Jul-19,4,0,1,Imports,699,India,,784,United Arab Emirates,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,27944320,,5312343,,,0
