Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,12,Algeria,DZA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1246000,,,,1246000,,274128,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,196111180,,,,196111180,,31819088,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,48,Bahrain,BHR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,101850,,,,101850,,30046,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,81262440,,,,81262440,,13518706,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,505580,,,,505580,,65725,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,96,Brunei Darussalam,BRN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,241280,,,,241280,,71221,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,104,Myanmar,MMR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,206550,,,,206550,,74966,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,88586526,,,,88586526,,8425604,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,144,Sri Lanka,LKA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1001540,,,,1001540,,251010,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2082,,,,2082,,8156,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,196,Cyprus,CYP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,7085590,,,,7085590,,1210012,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,214,Dominican Rep.,DOM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,91131,,,,91131,,42285,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,222,El Salvador,SLV,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,192889,,,,192889,,57867,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,242,Fiji,FJI,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,821247,,,,821247,,162535,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,251,France,FRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,67254740,,,,67254740,,11459385,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,47386528,,,,47386528,,7989807,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,300,Greece,GRC,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,118122500,,,,118122500,,19648303,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,320,Guatemala,GTM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,400040,,,,400040,,152015,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,344,"China, Hong Kong SAR",HKG,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,4927558,,,,4927558,,1314899,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,372,Ireland,IRL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,35941150,,,,35941150,,5858831,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,331889440,,,,331889440,,51993900,,,6
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,388,Jamaica,JAM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,374434,,,,374434,,150319,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,143338452,,,,143338452,,29223232,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,400,Jordan,JOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,23486930,,,,23486930,,4657688,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,410,Rep. of Korea,KOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,129304041,,,,129304041,,21566915,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,414,Kuwait,KWT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,7875755,,,,7875755,,1683989,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,21563975,,,,21563975,,7271946,,,6
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,470,Malta,MLT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,508410,,,,508410,,82726,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,480,Mauritius,MUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,216630,,,,216630,,40419,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,490,"Other Asia, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,851040,,,,851040,,102126,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,528,Netherlands,NLD,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,116240930,,,,116240930,,19537932,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,540,New Caledonia,NCL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,228740,,,,228740,,30715,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,554,New Zealand,NZL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,178254460,,,,178254460,,26443180,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,579,Norway,NOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,9290830,,,,9290830,,1256808,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,591,Panama,PAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,741218,,,,741218,,132001,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,598,Papua New Guinea,PNG,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,192160,,,,192160,,42275,,,0
H5,2018,2018,2018,4,0,1,Import,360,Indonesia,IDN,608,Philippines,PHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,10073929,,,,10073929,,3774929,,,0
