Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,36,Australia,AUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,164000,,,,164000,,30211,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,40,Austria,AUT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,7720,,,,7720,,1837,,,6
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,827000,,,,827000,,111115,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,152,Chile,CHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,462000,,,,462000,,88163,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,156,China,CHN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,81445,,,,81445,,95077,,,6
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,251,France,FRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,46000,,,,46000,,5177,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,376,Israel,ISR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,24000,,,,24000,,6652,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,381,Italy,ITA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1750000,,,,1750000,,437765,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,458,Malaysia,MYS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,47000,,,,47000,,134837,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,490,"Other Asia, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1787000,,,,1787000,,580341,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,528,Netherlands,NLD,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1191000,,,,1191000,,331501,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,608,Philippines,PHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,444000,,,,444000,,125280,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,702,Singapore,SGP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,212000,,,,212000,,25975,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,724,Spain,ESP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,48000,,,,48000,,14644,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,826,United Kingdom,GBR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,146000,,,,146000,,28844,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,842,USA,USA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,34729000,,,,34729000,,16237480,,,0
H5,2018,2018,2018,4,0,1,Import,392,Japan,JPN,858,Uruguay,URY,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,49000,,,,49000,,26174,,,0
H5,2019,2019,2019,4,0,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,228000,,,,228000,,26898,,,0
H5,2019,2019,2019,4,0,1,Import,392,Japan,JPN,152,Chile,CHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,197000,,,,197000,,40696,,,0
H5,2019,2019,2019,4,0,1,Import,392,Japan,JPN,156,China,CHN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,87000,,,,87000,,131088,,,0
H5,2019,2019,2019,4,0,1,Import,392,Japan,JPN,276,Germany,DEU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,30468,,,,30468,,6577,,,6
H5,2019,2019,2019,4,0,1,Import,392,Japan,JPN,381,Italy,ITA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,4281000,,,,4281000,,811932,,,0
H5,2019,2019,2019,4,0,1,Import,392,Japan,JPN,414,Kuwait,KWT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,124000,,,,124000,,25916,,,0
