Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,18644154,,,,18644154,,3930508,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,44,Bahamas,BHS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,249375,,,,249375,,69725,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,52,Barbados,BRB,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,172330,,,,172330,,30104,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,56,Belgium,BEL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,10509082,,,,10509082,,1897746,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,76,Brazil,BRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,141511,,,,141511,,50944,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,96,Brunei Darussalam,BRN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,91160,,,,91160,,34203,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,100,Bulgaria,BGR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,151820,,,,151820,,28846,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,76732693,,,,76732693,,14886185,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,152,Chile,CHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1322366,,,,1322366,,441468,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,17511397,,,,17511397,,3669804,,,6
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,188,Costa Rica,CRI,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,408608,,,,408608,,107705,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,214,Dominican Rep.,DOM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,484796,,,,484796,,159866,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,218,Ecuador,ECU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,557754,,,,557754,,112443,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,222,El Salvador,SLV,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3261647,,,,3261647,,854934,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,233,Estonia,EST,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,313945,,,,313945,,61309,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,246,Finland,FIN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,28,,,,,,5,,,6
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,6826790,,,,6826790,,1295060,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,266,Gabon,GAB,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,21845,,,,21845,,10922,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2406680,,,,2406680,,583342,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,300,Greece,GRC,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3306035,,,,3306035,,610683,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,320,Guatemala,GTM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,809884,,,,809884,,166419,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,340,Honduras,HND,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1171044,,,,1171044,,301584,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,13760966,,,,13760966,,3856153,,,6
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,360,Indonesia,IDN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2525386,,,,2525386,,434508,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,372,Ireland,IRL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,48960,,,,48960,,9547,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,376,Israel,ISR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2745480,,,,2745480,,597089,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,381,Italy,ITA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,14826880,,,,14826880,,2828473,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,388,Jamaica,JAM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1337778,,,,1337778,,330887,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,287259540,,,,287259540,,52571461,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,400,Jordan,JOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,398520,,,,398520,,97648,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,428,Latvia,LVA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,618695,,,,618695,,117884,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,458,Malaysia,MYS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1043812,,,,1043812,,351592,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,470,Malta,MLT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,115614,,,,115614,,36288,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,484,Mexico,MEX,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2691828,,,,2691828,,1099921,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,14962993,,,,14962993,,4295145,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,516,Namibia,NAM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,384760,,,,384760,,73104,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,67746181,,,,67746181,,12854872,,,6
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,554,New Zealand,NZL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3835119,,,,3835119,,1312917,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,558,Nicaragua,NIC,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,60460,,,,60460,,10641,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,579,Norway,NOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,9519010,,,,9519010,,1642499,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,580,N. Mariana Isds,MNP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,131180,,,,131180,,7871,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,591,Panama,PAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,17040,,,,17040,,8264,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,598,Papua New Guinea,PNG,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,296420,,,,296420,,75500,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,608,Philippines,PHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,9310875,,,,9310875,,2331318,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,620,Portugal,PRT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1597380,,,,1597380,,315669,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,634,Qatar,QAT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,247960,,,,247960,,57527,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,300320,,,,300320,,109616,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,662,Saint Lucia,LCA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,543360,,,,543360,,137581,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,670,Saint Vincent and the Grenadines,VCT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,41510,,,,41510,,10793,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,682,Saudi Arabia,SAU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1167220,,,,1167220,,291842,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,702,Singapore,SGP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,20599117,,,,20599117,,6103105,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,704,Viet Nam,VNM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,101656,,,,101656,,4549,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,710,South Africa,ZAF,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1011600,,,,1011600,,332619,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,724,Spain,ESP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,13509660,,,,13509660,,2656721,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,757,Switzerland,CHE,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,410940,,,,410940,,90020,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,764,Thailand,THA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,19891013,,,,19891013,,7437347,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,780,Trinidad and Tobago,TTO,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,854742,,,,854742,,220099,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,784,United Arab Emirates,ARE,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2307855,,,,2307855,,555623,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,826,United Kingdom,GBR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,551550,,,,551550,,102213,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,842,USA,USA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,912024432,,,,912024432,,195882810,,,0
H5,2018,2018,2018,4,0,1,Import,410,Rep. of Korea,KOR,899,"Areas, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,340575,,,,340575,,74258,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,13737363,,,,13737363,,1955805,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,52,Barbados,BRB,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,47690,,,,47690,,6820,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,56,Belgium,BEL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,351220,,,,351220,,63443,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,76,Brazil,BRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,96060,,,,96060,,34582,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,96,Brunei Darussalam,BRN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,241481,,,,241481,,77882,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,56437829,,,,56437829,,9111115,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,144,Sri Lanka,LKA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,91130,,,,91130,,31864,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,152,Chile,CHL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,106833,,,,106833,,40062,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2808814,,,,2808814,,2076246,,,6
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,188,Costa Rica,CRI,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,709038,,,,709038,,180359,,,0
H5,2019,2019,2019,4,0,1,Import,410,Rep. of Korea,KOR,196,Cyprus,CYP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1723160,,,,1723160,,174048,,,0
