Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,36,Australia,AUS,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,4598,,,,4598,,806,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,56,Belgium,BEL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1512000,,,,1512000,,416590,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,76,Brazil,BRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,264000,,,,264000,,66341,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,124,Canada,CAN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,4527,,,,4527,,806,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,156,China,CHN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,395078,,,,395078,,14396,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,208,Denmark,DNK,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,71026000,,,,71026000,,13975418,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,246,Finland,FIN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,41246000,,,,41246000,,6560752,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,251,France,FRA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1699000,,,,1699000,,746568,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,276,Germany,DEU,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,34766000,,,,34766000,,4287184,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,348,Hungary,HUN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,1313,,,,1313,,230,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,352,Iceland,ISL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,12316284,,,,12316284,,862435,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,364,Iran,IRN,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3941,,,,3941,,691,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,381,Italy,ITA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3284,,,,3284,,575,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,410,Rep. of Korea,KOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3941,,,,3941,,691,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,446,"China, Macao SAR",MAC,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,24000,,,,24000,,3340,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,484,Mexico,MEX,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,23719,,,,23719,,806,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,490,"Other Asia, nes",,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,2350,,,,2350,,345,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,528,Netherlands,NLD,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,71317599,,,,71317599,,1878515,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,562,Niger,NER,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,45000,,,,45000,,3340,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,579,Norway,NOR,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,197147000,,,,197147000,,27691460,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,616,Poland,POL,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,3554000,,,,3554000,,1154290,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,620,Portugal,PRT,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,760000,,,,760000,,379043,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,652,Saint Barthélemy,BLM,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,95000,,,,95000,,11517,,,0
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,724,Spain,ESP,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,89334,,,,89334,,15663,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,757,Switzerland,CHE,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,11823,,,,11823,,2073,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,764,Thailand,THA,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,10509,,,,10509,,1842,,,6
H5,2018,2018,2018,4,0,1,Import,752,Sweden,SWE,784,United Arab Emirates,ARE,,,,,,,,4707,Waste and scrap of paper and paperboard,8,Weight in kilograms,656,,,,656,,115,,,6
