Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,56,Belgium,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,171000,,48584,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,124,Canada,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,6894,,1085,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,896,,121,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,208,Denmark,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,3934000,,554310,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,246,Finland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1030000,,239421,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,251,France,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,15404,,2652,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,286177,,97288,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,352,Iceland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1317000,,89572,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,528,Netherlands,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1913000,,521881,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,579,Norway,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,12338000,,1517662,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,616,Poland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,441000,,142496,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,620,Portugal,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,10000,,11212,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,652,Saint-Barthélemy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,23000,,3255,,,0
HS,2021,202101,21-Jan,4,0,1,Imports,752,Sweden,,826,United Kingdom,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,766,,121,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,56,Belgium,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,48000,,13550,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1320,,240,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,208,Denmark,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1176799,,146412,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,233,Estonia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,98000,,27220,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,246,Finland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,866000,,106721,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,251,France,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,4000,,5756,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2194000,,427245,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,352,Iceland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,847000,,72666,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,376,Israel,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,848,,120,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,381,Italy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2000,,5996,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,528,Netherlands,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,684000,,127946,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,579,Norway,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,11201848,,1500814,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,616,Poland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,582000,,180227,,,0
HS,2021,202102,21-Feb,4,0,1,Imports,752,Sweden,,826,United Kingdom,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,5938,,839,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,56,Belgium,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,25000,,6903,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,124,Canada,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1411,,234,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,3473,,585,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,208,Denmark,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2722000,,455254,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,233,Estonia,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,94000,,25740,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,246,Finland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,684753,,132446,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,251,France,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,12072,,5382,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1172165,,253543,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,352,Iceland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,747000,,67393,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,381,Italy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,705,,117,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,528,Netherlands,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2779000,,664102,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,579,Norway,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,11992000,,1775852,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,616,Poland,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,319000,,119810,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,620,Portugal,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,22000,,23985,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,826,United Kingdom,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2962,,585,,,0
HS,2021,202103,21-Mar,4,0,1,Imports,752,Sweden,,842,United States of America,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,26409,,5148,,,0
