Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2019,201909,Sep-19,4,0,1,Imports,842,United States of America,,381,Italy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,4282,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,842,United States of America,,124,Canada,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,35513000,,5104866,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,842,United States of America,,524,Nepal,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2000,,2881,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,842,United States of America,,484,Mexico,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1597000,,270283,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,842,United States of America,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,7664,,,0
HS,2019,201909,Sep-19,4,0,1,Imports,842,United States of America,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,786000,,5756,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,842,United States of America,,620,Portugal,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,4624,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,842,United States of America,,124,Canada,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,48680000,,10336370,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,842,United States of America,,381,Italy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,3314,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,842,United States of America,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,9307,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,842,United States of America,,484,Mexico,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1668000,,316440,,,0
HS,2019,201903,Mar-19,4,0,1,Imports,842,United States of America,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2000,,7057,,,0
HS,2019,201905,May-19,4,0,1,Imports,842,United States of America,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,4000,,8528,,,0
HS,2019,201905,May-19,4,0,1,Imports,842,United States of America,,124,Canada,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,40607000,,7319678,,,0
HS,2019,201905,May-19,4,0,1,Imports,842,United States of America,,381,Italy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,3364,,,0
HS,2019,201905,May-19,4,0,1,Imports,842,United States of America,,484,Mexico,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1216000,,203596,,,0
HS,2019,201910,Oct-19,4,0,1,Imports,842,United States of America,,124,Canada,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,37848000,,5317458,,,0
HS,2019,201910,Oct-19,4,0,1,Imports,842,United States of America,,156,China,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,7000,,16747,,,0
HS,2019,201910,Oct-19,4,0,1,Imports,842,United States of America,,276,Germany,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,2929,,,0
HS,2019,201910,Oct-19,4,0,1,Imports,842,United States of America,,484,Mexico,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1494000,,245568,,,0
HS,2019,201910,Oct-19,4,0,1,Imports,842,United States of America,,381,Italy,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,1000,,8050,,,0
HS,2019,201904,Apr-19,4,0,1,Imports,842,United States of America,,484,Mexico,,,,,,,,,4707,Waste and scrap of paper and paperboard,,,,,,,2351000,,405418,,,0
