,Period,Reporter,Weight
0,201901,Brazil,881554
1,201901,Canada,160000
2,201901,Finland,8125497
3,201901,Germany,384643366
4,201901,India,558152468
5,201901,Japan,1640000
6,201901,Sweden,37201773
7,201901,United States of America,54808000
8,201902,Brazil,1220767
9,201902,Canada,198000
10,201902,Finland,8013253
11,201902,Germany,375189049
12,201902,India,400647515
13,201902,Japan,2158000
14,201902,Sweden,32752514
15,201902,United States of America,46768000
16,201903,Brazil,1422297
17,201903,Canada,313000
18,201903,Finland,11050328
19,201903,Germany,392303648
20,201903,India,477857728
21,201903,Japan,3911000
22,201903,Sweden,30536992
23,201903,United States of America,50353000
24,201904,Brazil,2420909
25,201904,Canada,137000
26,201904,Finland,9382399
27,201904,Germany,386702147
28,201904,India,511554755
29,201904,Japan,4188000
30,201904,Sweden,30280813
31,201904,United States of America,44485000
32,201905,Brazil,2056744
33,201905,Canada,221000
34,201905,Finland,12081467
35,201905,Germany,376348647
36,201905,India,600083634
37,201905,Japan,3997000
38,201905,Sweden,30216337
39,201905,United States of America,41828000
40,201906,Brazil,643234
41,201906,Canada,36000
42,201906,Finland,11313453
43,201906,Germany,401823608
44,201906,India,585154576
45,201906,Japan,3474000
46,201906,Sweden,28398286
47,201906,United States of America,38708000
48,201907,Brazil,2707323
49,201907,Canada,65000
50,201907,Finland,10005162
51,201907,Germany,400472031
52,201907,India,599755818
53,201907,Japan,3081000
54,201907,Sweden,32036202
55,201907,United States of America,41762000
56,201908,Brazil,1486039
57,201908,Canada,108000
58,201908,Finland,8485287
59,201908,Germany,382742848
60,201908,India,583802908
61,201908,Japan,4835000
62,201908,Sweden,32319071
63,201908,United States of America,40188000
64,201909,Brazil,1242771
65,201909,Canada,125000
66,201909,Finland,8648471
67,201909,Germany,363900292
68,201909,India,582086382
69,201909,Japan,3667000
70,201909,Sweden,31095004
71,201909,United States of America,37900000
72,201910,Brazil,2675683
73,201910,Canada,98000
74,201910,Finland,9102022
75,201910,Germany,423245202
76,201910,India,585522697
77,201910,Japan,4373000
78,201910,Sweden,42941302
79,201910,United States of America,39351000
80,201911,Brazil,1961926
81,201911,Canada,160000
82,201911,Finland,10690885
83,201911,Germany,420604423
84,201911,India,545436620
85,201911,Japan,5814567
86,201911,Sweden,26543521
87,201911,United States of America,40521000
88,201912,Brazil,2640253
89,201912,Canada,125430000
90,201912,Finland,9265477
91,201912,Germany,330363610
92,201912,India,522288091
93,201912,Japan,6189000
94,201912,Sweden,25977195
95,201912,United States of America,36579000
